ORIGID,County,PopulationCensus16,TimeStamp,Lat,Long,Confirmed Cases
24,Westmeath,88770,2020/05/02 00:00:00+00,53.5524,-7.4219,523
25,Wexford,149722,2020/05/02 00:00:00+00,52.5164,-6.5037,183
26,Wicklow,142425,2020/05/02 00:00:00+00,53.0205,-6.3442,625
1,Carlow,56932,2020/05/03 00:00:00+00,52.7168,-6.8367,124
2,Cavan,76176,2020/05/03 00:00:00+00,53.9878,-7.2937,695
3,Clare,118817,2020/05/03 00:00:00+00,52.8917,-8.9889,331
4,Cork,542868,2020/05/03 00:00:00+00,51.9517,-8.6372,1178
5,Donegal,159192,2020/05/03 00:00:00+00,54.8989,-7.96,452
6,Dublin,1347359,2020/05/03 00:00:00+00,53.3605,-6.292,10480
7,Galway,258058,2020/05/03 00:00:00+00,53.3705,-8.7362,370
8,Kerry,147707,2020/05/03 00:00:00+00,52.1689,-9.565,298
9,Kildare,222504,2020/05/03 00:00:00+00,53.238,-6.7837,1304
10,Kilkenny,99232,2020/05/03 00:00:00+00,52.5816,-7.2175,260
11,Laois,84697,2020/05/03 00:00:00+00,52.9952,-7.3423,234
12,Leitrim,32044,2020/05/03 00:00:00+00,54.1261,-7.9939,66
13,Limerick,194899,2020/05/03 00:00:00+00,52.5255,-8.7412,494
14,Longford,40873,2020/05/03 00:00:00+00,53.7325,-7.6952,233
15,Louth,128884,2020/05/03 00:00:00+00,53.9161,-6.487,689
16,Mayo,130507,2020/05/03 00:00:00+00,53.9191,-9.2537,511
17,Meath,195044,2020/05/03 00:00:00+00,53.6851,-6.715,723
18,Monaghan,61386,2020/05/03 00:00:00+00,54.1857,-6.9452,430
19,Offaly,77961,2020/05/03 00:00:00+00,53.2632,-7.6607,333
20,Roscommon,64544,2020/05/03 00:00:00+00,53.8008,-8.2735,186
21,Sligo,65535,2020/05/03 00:00:00+00,54.1581,-8.5345,110
22,Tipperary,159553,2020/05/03 00:00:00+00,52.6407,-7.9206,486
23,Waterford,116176,2020/05/03 00:00:00+00,52.2035,-7.4935,135
24,Westmeath,88770,2020/05/03 00:00:00+00,53.5524,-7.4219,531
25,Wexford,149722,2020/05/03 00:00:00+00,52.5164,-6.5037,183
26,Wicklow,142425,2020/05/03 00:00:00+00,53.0205,-6.3442,627
1,Carlow,56932,2020/05/04 00:00:00+00,52.7168,-6.8367,130
2,Cavan,76176,2020/05/04 00:00:00+00,53.9878,-7.2937,710
3,Clare,118817,2020/05/04 00:00:00+00,52.8917,-8.9889,336
4,Cork,542868,2020/05/04 00:00:00+00,51.9517,-8.6372,1193
5,Donegal,159192,2020/05/04 00:00:00+00,54.8989,-7.96,453
6,Dublin,1347359,2020/05/04 00:00:00+00,53.3605,-6.292,10543
7,Galway,258058,2020/05/04 00:00:00+00,53.3705,-8.7362,377
8,Kerry,147707,2020/05/04 00:00:00+00,52.1689,-9.565,300
9,Kildare,222504,2020/05/04 00:00:00+00,53.238,-6.7837,1313
10,Kilkenny,99232,2020/05/04 00:00:00+00,52.5816,-7.2175,261
11,Laois,84697,2020/05/04 00:00:00+00,52.9952,-7.3423,236
12,Leitrim,32044,2020/05/04 00:00:00+00,54.1261,-7.9939,66
13,Limerick,194899,2020/05/04 00:00:00+00,52.5255,-8.7412,500
14,Longford,40873,2020/05/04 00:00:00+00,53.7325,-7.6952,256
15,Louth,128884,2020/05/04 00:00:00+00,53.9161,-6.487,696
16,Mayo,130507,2020/05/04 00:00:00+00,53.9191,-9.2537,513
17,Meath,195044,2020/05/04 00:00:00+00,53.6851,-6.715,728
18,Monaghan,61386,2020/05/04 00:00:00+00,54.1857,-6.9452,433
19,Offaly,77961,2020/05/04 00:00:00+00,53.2632,-7.6607,355
20,Roscommon,64544,2020/05/04 00:00:00+00,53.8008,-8.2735,216
21,Sligo,65535,2020/05/04 00:00:00+00,54.1581,-8.5345,111
22,Tipperary,159553,2020/05/04 00:00:00+00,52.6407,-7.9206,501
23,Waterford,116176,2020/05/04 00:00:00+00,52.2035,-7.4935,135
24,Westmeath,88770,2020/05/04 00:00:00+00,53.5524,-7.4219,538
25,Wexford,149722,2020/05/04 00:00:00+00,52.5164,-6.5037,183
26,Wicklow,142425,2020/05/04 00:00:00+00,53.0205,-6.3442,629
1,Carlow,56932,2020/05/05 00:00:00+00,52.7168,-6.8367,130
2,Cavan,76176,2020/05/05 00:00:00+00,53.9878,-7.2937,710
3,Clare,118817,2020/05/05 00:00:00+00,52.8917,-8.9889,337
4,Cork,542868,2020/05/05 00:00:00+00,51.9517,-8.6372,1198
5,Donegal,159192,2020/05/05 00:00:00+00,54.8989,-7.96,454
6,Dublin,1347359,2020/05/05 00:00:00+00,53.3605,-6.292,10655
7,Galway,258058,2020/05/05 00:00:00+00,53.3705,-8.7362,381
8,Kerry,147707,2020/05/05 00:00:00+00,52.1689,-9.565,301
9,Kildare,222504,2020/05/05 00:00:00+00,53.238,-6.7837,1327
10,Kilkenny,99232,2020/05/05 00:00:00+00,52.5816,-7.2175,267
11,Laois,84697,2020/05/05 00:00:00+00,52.9952,-7.3423,239
12,Leitrim,32044,2020/05/05 00:00:00+00,54.1261,-7.9939,66
13,Limerick,194899,2020/05/05 00:00:00+00,52.5255,-8.7412,508
14,Longford,40873,2020/05/05 00:00:00+00,53.7325,-7.6952,258
15,Louth,128884,2020/05/05 00:00:00+00,53.9161,-6.487,701
16,Mayo,130507,2020/05/05 00:00:00+00,53.9191,-9.2537,515
17,Meath,195044,2020/05/05 00:00:00+00,53.6851,-6.715,729
18,Monaghan,61386,2020/05/05 00:00:00+00,54.1857,-6.9452,442
19,Offaly,77961,2020/05/05 00:00:00+00,53.2632,-7.6607,363
20,Roscommon,64544,2020/05/05 00:00:00+00,53.8008,-8.2735,225
21,Sligo,65535,2020/05/05 00:00:00+00,54.1581,-8.5345,112
22,Tipperary,159553,2020/05/05 00:00:00+00,52.6407,-7.9206,506
23,Waterford,116176,2020/05/05 00:00:00+00,52.2035,-7.4935,136
24,Westmeath,88770,2020/05/05 00:00:00+00,53.5524,-7.4219,609
25,Wexford,149722,2020/05/05 00:00:00+00,52.5164,-6.5037,190
26,Wicklow,142425,2020/05/05 00:00:00+00,53.0205,-6.3442,634
1,Carlow,56932,2020/05/06 00:00:00+00,52.7168,-6.8367,131
2,Cavan,76176,2020/05/06 00:00:00+00,53.9878,-7.2937,730
3,Clare,118817,2020/05/06 00:00:00+00,52.8917,-8.9889,341
4,Cork,542868,2020/05/06 00:00:00+00,51.9517,-8.6372,1200
5,Donegal,159192,2020/05/06 00:00:00+00,54.8989,-7.96,454
6,Dublin,1347359,2020/05/06 00:00:00+00,53.3605,-6.292,10709
7,Galway,258058,2020/05/06 00:00:00+00,53.3705,-8.7362,382
8,Kerry,147707,2020/05/06 00:00:00+00,52.1689,-9.565,302
9,Kildare,222504,2020/05/06 00:00:00+00,53.238,-6.7837,1335
10,Kilkenny,99232,2020/05/06 00:00:00+00,52.5816,-7.2175,267
11,Laois,84697,2020/05/06 00:00:00+00,52.9952,-7.3423,240
12,Leitrim,32044,2020/05/06 00:00:00+00,54.1261,-7.9939,66
13,Limerick,194899,2020/05/06 00:00:00+00,52.5255,-8.7412,514
14,Longford,40873,2020/05/06 00:00:00+00,53.7325,-7.6952,260
15,Louth,128884,2020/05/06 00:00:00+00,53.9161,-6.487,705
16,Mayo,130507,2020/05/06 00:00:00+00,53.9191,-9.2537,519
17,Meath,195044,2020/05/06 00:00:00+00,53.6851,-6.715,733
18,Monaghan,61386,2020/05/06 00:00:00+00,54.1857,-6.9452,444
19,Offaly,77961,2020/05/06 00:00:00+00,53.2632,-7.6607,363
20,Roscommon,64544,2020/05/06 00:00:00+00,53.8008,-8.2735,231
21,Sligo,65535,2020/05/06 00:00:00+00,54.1581,-8.5345,112
22,Tipperary,159553,2020/05/06 00:00:00+00,52.6407,-7.9206,511
23,Waterford,116176,2020/05/06 00:00:00+00,52.2035,-7.4935,136
24,Westmeath,88770,2020/05/06 00:00:00+00,53.5524,-7.4219,617
25,Wexford,149722,2020/05/06 00:00:00+00,52.5164,-6.5037,190
26,Wicklow,142425,2020/05/06 00:00:00+00,53.0205,-6.3442,638
1,Carlow,56932,2020/05/07 00:00:00+00,52.7168,-6.8367,133
2,Cavan,76176,2020/05/07 00:00:00+00,53.9878,-7.2937,747
3,Clare,118817,2020/05/07 00:00:00+00,52.8917,-8.9889,345
4,Cork,542868,2020/05/07 00:00:00+00,51.9517,-8.6372,1206
5,Donegal,159192,2020/05/07 00:00:00+00,54.8989,-7.96,454
6,Dublin,1347359,2020/05/07 00:00:00+00,53.3605,-6.292,10767
7,Galway,258058,2020/05/07 00:00:00+00,53.3705,-8.7362,383
8,Kerry,147707,2020/05/07 00:00:00+00,52.1689,-9.565,302
9,Kildare,222504,2020/05/07 00:00:00+00,53.238,-6.7837,1339
10,Kilkenny,99232,2020/05/07 00:00:00+00,52.5816,-7.2175,274
11,Laois,84697,2020/05/07 00:00:00+00,52.9952,-7.3423,245
12,Leitrim,32044,2020/05/07 00:00:00+00,54.1261,-7.9939,66
13,Limerick,194899,2020/05/07 00:00:00+00,52.5255,-8.7412,518
14,Longford,40873,2020/05/07 00:00:00+00,53.7325,-7.6952,264
15,Louth,128884,2020/05/07 00:00:00+00,53.9161,-6.487,716
16,Mayo,130507,2020/05/07 00:00:00+00,53.9191,-9.2537,523
17,Meath,195044,2020/05/07 00:00:00+00,53.6851,-6.715,759
18,Monaghan,61386,2020/05/07 00:00:00+00,54.1857,-6.9452,448
19,Offaly,77961,2020/05/07 00:00:00+00,53.2632,-7.6607,367
20,Roscommon,64544,2020/05/07 00:00:00+00,53.8008,-8.2735,237
21,Sligo,65535,2020/05/07 00:00:00+00,54.1581,-8.5345,112
22,Tipperary,159553,2020/05/07 00:00:00+00,52.6407,-7.9206,514
23,Waterford,116176,2020/05/07 00:00:00+00,52.2035,-7.4935,139
24,Westmeath,88770,2020/05/07 00:00:00+00,53.5524,-7.4219,624
25,Wexford,149722,2020/05/07 00:00:00+00,52.5164,-6.5037,194
26,Wicklow,142425,2020/05/07 00:00:00+00,53.0205,-6.3442,640
1,Carlow,56932,2020/05/08 00:00:00+00,52.7168,-6.8367,134
2,Cavan,76176,2020/05/08 00:00:00+00,53.9878,-7.2937,752
3,Clare,118817,2020/05/08 00:00:00+00,52.8917,-8.9889,345
4,Cork,542868,2020/05/08 00:00:00+00,51.9517,-8.6372,1208
5,Donegal,159192,2020/05/08 00:00:00+00,54.8989,-7.96,454
6,Dublin,1347359,2020/05/08 00:00:00+00,53.3605,-6.292,10872
7,Galway,258058,2020/05/08 00:00:00+00,53.3705,-8.7362,389
8,Kerry,147707,2020/05/08 00:00:00+00,52.1689,-9.565,302
9,Kildare,222504,2020/05/08 00:00:00+00,53.238,-6.7837,1347
10,Kilkenny,99232,2020/05/08 00:00:00+00,52.5816,-7.2175,281
11,Laois,84697,2020/05/08 00:00:00+00,52.9952,-7.3423,245
12,Leitrim,32044,2020/05/08 00:00:00+00,54.1261,-7.9939,66
13,Limerick,194899,2020/05/08 00:00:00+00,52.5255,-8.7412,520
14,Longford,40873,2020/05/08 00:00:00+00,53.7325,-7.6952,264
15,Louth,128884,2020/05/08 00:00:00+00,53.9161,-6.487,721
16,Mayo,130507,2020/05/08 00:00:00+00,53.9191,-9.2537,523
17,Meath,195044,2020/05/08 00:00:00+00,53.6851,-6.715,761
18,Monaghan,61386,2020/05/08 00:00:00+00,54.1857,-6.9452,448
19,Offaly,77961,2020/05/08 00:00:00+00,53.2632,-7.6607,368
20,Roscommon,64544,2020/05/08 00:00:00+00,53.8008,-8.2735,238
21,Sligo,65535,2020/05/08 00:00:00+00,54.1581,-8.5345,112
22,Tipperary,159553,2020/05/08 00:00:00+00,52.6407,-7.9206,516
23,Waterford,116176,2020/05/08 00:00:00+00,52.2035,-7.4935,139
24,Westmeath,88770,2020/05/08 00:00:00+00,53.5524,-7.4219,625
25,Wexford,149722,2020/05/08 00:00:00+00,52.5164,-6.5037,197
26,Wicklow,142425,2020/05/08 00:00:00+00,53.0205,-6.3442,647
1,Carlow,56932,2020/05/09 00:00:00+00,52.7168,-6.8367,136
2,Cavan,76176,2020/05/09 00:00:00+00,53.9878,-7.2937,753
3,Clare,118817,2020/05/09 00:00:00+00,52.8917,-8.9889,347
4,Cork,542868,2020/05/09 00:00:00+00,51.9517,-8.6372,1233
5,Donegal,159192,2020/05/09 00:00:00+00,54.8989,-7.96,457
6,Dublin,1347359,2020/05/09 00:00:00+00,53.3605,-6.292,11013
7,Galway,258058,2020/05/09 00:00:00+00,53.3705,-8.7362,393
8,Kerry,147707,2020/05/09 00:00:00+00,52.1689,-9.565,302
9,Kildare,222504,2020/05/09 00:00:00+00,53.238,-6.7837,1358
10,Kilkenny,99232,2020/05/09 00:00:00+00,52.5816,-7.2175,284
11,Laois,84697,2020/05/09 00:00:00+00,52.9952,-7.3423,246
12,Leitrim,32044,2020/05/09 00:00:00+00,54.1261,-7.9939,74
13,Limerick,194899,2020/05/09 00:00:00+00,52.5255,-8.7412,530
14,Longford,40873,2020/05/09 00:00:00+00,53.7325,-7.6952,267
15,Louth,128884,2020/05/09 00:00:00+00,53.9161,-6.487,730
16,Mayo,130507,2020/05/09 00:00:00+00,53.9191,-9.2537,523
17,Meath,195044,2020/05/09 00:00:00+00,53.6851,-6.715,762
18,Monaghan,61386,2020/05/09 00:00:00+00,54.1857,-6.9452,450
19,Offaly,77961,2020/05/09 00:00:00+00,53.2632,-7.6607,369
20,Roscommon,64544,2020/05/09 00:00:00+00,53.8008,-8.2735,250
21,Sligo,65535,2020/05/09 00:00:00+00,54.1581,-8.5345,119
22,Tipperary,159553,2020/05/09 00:00:00+00,52.6407,-7.9206,523
23,Waterford,116176,2020/05/09 00:00:00+00,52.2035,-7.4935,139
24,Westmeath,88770,2020/05/09 00:00:00+00,53.5524,-7.4219,627
25,Wexford,149722,2020/05/09 00:00:00+00,52.5164,-6.5037,200
26,Wicklow,142425,2020/05/09 00:00:00+00,53.0205,-6.3442,650
1,Carlow,56932,2020/05/10 00:00:00+00,52.7168,-6.8367,136
2,Cavan,76176,2020/05/10 00:00:00+00,53.9878,-7.2937,757
3,Clare,118817,2020/05/10 00:00:00+00,52.8917,-8.9889,350
4,Cork,542868,2020/05/10 00:00:00+00,51.9517,-8.6372,1235
5,Donegal,159192,2020/05/10 00:00:00+00,54.8989,-7.96,458
6,Dublin,1347359,2020/05/10 00:00:00+00,53.3605,-6.292,11063
7,Galway,258058,2020/05/10 00:00:00+00,53.3705,-8.7362,401
8,Kerry,147707,2020/05/10 00:00:00+00,52.1689,-9.565,304
9,Kildare,222504,2020/05/10 00:00:00+00,53.238,-6.7837,1361
10,Kilkenny,99232,2020/05/10 00:00:00+00,52.5816,-7.2175,288
11,Laois,84697,2020/05/10 00:00:00+00,52.9952,-7.3423,247
12,Leitrim,32044,2020/05/10 00:00:00+00,54.1261,-7.9939,74
13,Limerick,194899,2020/05/10 00:00:00+00,52.5255,-8.7412,533
14,Longford,40873,2020/05/10 00:00:00+00,53.7325,-7.6952,269
15,Louth,128884,2020/05/10 00:00:00+00,53.9161,-6.487,733
16,Mayo,130507,2020/05/10 00:00:00+00,53.9191,-9.2537,537
17,Meath,195044,2020/05/10 00:00:00+00,53.6851,-6.715,771
18,Monaghan,61386,2020/05/10 00:00:00+00,54.1857,-6.9452,455
19,Offaly,77961,2020/05/10 00:00:00+00,53.2632,-7.6607,376
20,Roscommon,64544,2020/05/10 00:00:00+00,53.8008,-8.2735,299
21,Sligo,65535,2020/05/10 00:00:00+00,54.1581,-8.5345,123
22,Tipperary,159553,2020/05/10 00:00:00+00,52.6407,-7.9206,524
23,Waterford,116176,2020/05/10 00:00:00+00,52.2035,-7.4935,139
24,Westmeath,88770,2020/05/10 00:00:00+00,53.5524,-7.4219,628
25,Wexford,149722,2020/05/10 00:00:00+00,52.5164,-6.5037,202
26,Wicklow,142425,2020/05/10 00:00:00+00,53.0205,-6.3442,653
1,Carlow,56932,2020/05/11 00:00:00+00,52.7168,-6.8367,138
2,Cavan,76176,2020/05/11 00:00:00+00,53.9878,-7.2937,765
3,Clare,118817,2020/05/11 00:00:00+00,52.8917,-8.9889,352
4,Cork,542868,2020/05/11 00:00:00+00,51.9517,-8.6372,1239
5,Donegal,159192,2020/05/11 00:00:00+00,54.8989,-7.96,458
6,Dublin,1347359,2020/05/11 00:00:00+00,53.3605,-6.292,11095
7,Galway,258058,2020/05/11 00:00:00+00,53.3705,-8.7362,403
8,Kerry,147707,2020/05/11 00:00:00+00,52.1689,-9.565,304
9,Kildare,222504,2020/05/11 00:00:00+00,53.238,-6.7837,1368
10,Kilkenny,99232,2020/05/11 00:00:00+00,52.5816,-7.2175,295
11,Laois,84697,2020/05/11 00:00:00+00,52.9952,-7.3423,247
12,Leitrim,32044,2020/05/11 00:00:00+00,54.1261,-7.9939,76
13,Limerick,194899,2020/05/11 00:00:00+00,52.5255,-8.7412,533
14,Longford,40873,2020/05/11 00:00:00+00,53.7325,-7.6952,270
15,Louth,128884,2020/05/11 00:00:00+00,53.9161,-6.487,735
16,Mayo,130507,2020/05/11 00:00:00+00,53.9191,-9.2537,538
17,Meath,195044,2020/05/11 00:00:00+00,53.6851,-6.715,771
18,Monaghan,61386,2020/05/11 00:00:00+00,54.1857,-6.9452,459
19,Offaly,77961,2020/05/11 00:00:00+00,53.2632,-7.6607,378
20,Roscommon,64544,2020/05/11 00:00:00+00,53.8008,-8.2735,300
21,Sligo,65535,2020/05/11 00:00:00+00,54.1581,-8.5345,123
22,Tipperary,159553,2020/05/11 00:00:00+00,52.6407,-7.9206,524
23,Waterford,116176,2020/05/11 00:00:00+00,52.2035,-7.4935,140
24,Westmeath,88770,2020/05/11 00:00:00+00,53.5524,-7.4219,630
25,Wexford,149722,2020/05/11 00:00:00+00,52.5164,-6.5037,206
26,Wicklow,142425,2020/05/11 00:00:00+00,53.0205,-6.3442,654
1,Carlow,56932,2020/05/12 00:00:00+00,52.7168,-6.8367,138
2,Cavan,76176,2020/05/12 00:00:00+00,53.9878,-7.2937,767
3,Clare,118817,2020/05/12 00:00:00+00,52.8917,-8.9889,353
4,Cork,542868,2020/05/12 00:00:00+00,51.9517,-8.6372,1250
5,Donegal,159192,2020/05/12 00:00:00+00,54.8989,-7.96,459
6,Dublin,1347359,2020/05/12 00:00:00+00,53.3605,-6.292,11167
7,Galway,258058,2020/05/12 00:00:00+00,53.3705,-8.7362,406
8,Kerry,147707,2020/05/12 00:00:00+00,52.1689,-9.565,304
9,Kildare,222504,2020/05/12 00:00:00+00,53.238,-6.7837,1374
10,Kilkenny,99232,2020/05/12 00:00:00+00,52.5816,-7.2175,296
11,Laois,84697,2020/05/12 00:00:00+00,52.9952,-7.3423,248
12,Leitrim,32044,2020/05/12 00:00:00+00,54.1261,-7.9939,77
13,Limerick,194899,2020/05/12 00:00:00+00,52.5255,-8.7412,535
14,Longford,40873,2020/05/12 00:00:00+00,53.7325,-7.6952,272
15,Louth,128884,2020/05/12 00:00:00+00,53.9161,-6.487,735
16,Mayo,130507,2020/05/12 00:00:00+00,53.9191,-9.2537,541
17,Meath,195044,2020/05/12 00:00:00+00,53.6851,-6.715,772
18,Monaghan,61386,2020/05/12 00:00:00+00,54.1857,-6.9452,465
19,Offaly,77961,2020/05/12 00:00:00+00,53.2632,-7.6607,380
20,Roscommon,64544,2020/05/12 00:00:00+00,53.8008,-8.2735,300
21,Sligo,65535,2020/05/12 00:00:00+00,54.1581,-8.5345,123
22,Tipperary,159553,2020/05/12 00:00:00+00,52.6407,-7.9206,524
23,Waterford,116176,2020/05/12 00:00:00+00,52.2035,-7.4935,140
24,Westmeath,88770,2020/05/12 00:00:00+00,53.5524,-7.4219,633
25,Wexford,149722,2020/05/12 00:00:00+00,52.5164,-6.5037,208
26,Wicklow,142425,2020/05/12 00:00:00+00,53.0205,-6.3442,658
1,Carlow,56932,2020/05/13 00:00:00+00,52.7168,-6.8367,139
2,Cavan,76176,2020/05/13 00:00:00+00,53.9878,-7.2937,774
3,Clare,118817,2020/05/13 00:00:00+00,52.8917,-8.9889,357
4,Cork,542868,2020/05/13 00:00:00+00,51.9517,-8.6372,1257
5,Donegal,159192,2020/05/13 00:00:00+00,54.8989,-7.96,459
6,Dublin,1347359,2020/05/13 00:00:00+00,53.3605,-6.292,11409
7,Galway,258058,2020/05/13 00:00:00+00,53.3705,-8.7362,408
8,Kerry,147707,2020/05/13 00:00:00+00,52.1689,-9.565,305
9,Kildare,222504,2020/05/13 00:00:00+00,53.238,-6.7837,1379
10,Kilkenny,99232,2020/05/13 00:00:00+00,52.5816,-7.2175,297
11,Laois,84697,2020/05/13 00:00:00+00,52.9952,-7.3423,249
12,Leitrim,32044,2020/05/13 00:00:00+00,54.1261,-7.9939,77
13,Limerick,194899,2020/05/13 00:00:00+00,52.5255,-8.7412,539
14,Longford,40873,2020/05/13 00:00:00+00,53.7325,-7.6952,273
15,Louth,128884,2020/05/13 00:00:00+00,53.9161,-6.487,741
16,Mayo,130507,2020/05/13 00:00:00+00,53.9191,-9.2537,542
17,Meath,195044,2020/05/13 00:00:00+00,53.6851,-6.715,775
18,Monaghan,61386,2020/05/13 00:00:00+00,54.1857,-6.9452,468
19,Offaly,77961,2020/05/13 00:00:00+00,53.2632,-7.6607,443
20,Roscommon,64544,2020/05/13 00:00:00+00,53.8008,-8.2735,301
21,Sligo,65535,2020/05/13 00:00:00+00,54.1581,-8.5345,123
22,Tipperary,159553,2020/05/13 00:00:00+00,52.6407,-7.9206,526
23,Waterford,116176,2020/05/13 00:00:00+00,52.2035,-7.4935,140
24,Westmeath,88770,2020/05/13 00:00:00+00,53.5524,-7.4219,638
25,Wexford,149722,2020/05/13 00:00:00+00,52.5164,-6.5037,208
26,Wicklow,142425,2020/05/13 00:00:00+00,53.0205,-6.3442,661
1,Carlow,56932,2020/05/14 00:00:00+00,52.7168,-6.8367,139
2,Cavan,76176,2020/05/14 00:00:00+00,53.9878,-7.2937,776
3,Clare,118817,2020/05/14 00:00:00+00,52.8917,-8.9889,358
4,Cork,542868,2020/05/14 00:00:00+00,51.9517,-8.6372,1347
5,Donegal,159192,2020/05/14 00:00:00+00,54.8989,-7.96,460
6,Dublin,1347359,2020/05/14 00:00:00+00,53.3605,-6.292,11491
7,Galway,258058,2020/05/14 00:00:00+00,53.3705,-8.7362,411
8,Kerry,147707,2020/05/14 00:00:00+00,52.1689,-9.565,306
9,Kildare,222504,2020/05/14 00:00:00+00,53.238,-6.7837,1383
10,Kilkenny,99232,2020/05/14 00:00:00+00,52.5816,-7.2175,299
11,Laois,84697,2020/05/14 00:00:00+00,52.9952,-7.3423,249
12,Leitrim,32044,2020/05/14 00:00:00+00,54.1261,-7.9939,79
13,Limerick,194899,2020/05/14 00:00:00+00,52.5255,-8.7412,541
14,Longford,40873,2020/05/14 00:00:00+00,53.7325,-7.6952,273
15,Louth,128884,2020/05/14 00:00:00+00,53.9161,-6.487,742
16,Mayo,130507,2020/05/14 00:00:00+00,53.9191,-9.2537,542
17,Meath,195044,2020/05/14 00:00:00+00,53.6851,-6.715,777
18,Monaghan,61386,2020/05/14 00:00:00+00,54.1857,-6.9452,469
19,Offaly,77961,2020/05/14 00:00:00+00,53.2632,-7.6607,463
20,Roscommon,64544,2020/05/14 00:00:00+00,53.8008,-8.2735,303
21,Sligo,65535,2020/05/14 00:00:00+00,54.1581,-8.5345,124
22,Tipperary,159553,2020/05/14 00:00:00+00,52.6407,-7.9206,531
23,Waterford,116176,2020/05/14 00:00:00+00,52.2035,-7.4935,140
24,Westmeath,88770,2020/05/14 00:00:00+00,53.5524,-7.4219,640
25,Wexford,149722,2020/05/14 00:00:00+00,52.5164,-6.5037,211
26,Wicklow,142425,2020/05/14 00:00:00+00,53.0205,-6.3442,667
1,Carlow,56932,2020/05/15 00:00:00+00,52.7168,-6.8367,141
2,Cavan,76176,2020/05/15 00:00:00+00,53.9878,-7.2937,783
3,Clare,118817,2020/05/15 00:00:00+00,52.8917,-8.9889,358
4,Cork,542868,2020/05/15 00:00:00+00,51.9517,-8.6372,1353
5,Donegal,159192,2020/05/15 00:00:00+00,54.8989,-7.96,460
6,Dublin,1347359,2020/05/15 00:00:00+00,53.3605,-6.292,11528
7,Galway,258058,2020/05/15 00:00:00+00,53.3705,-8.7362,417
8,Kerry,147707,2020/05/15 00:00:00+00,52.1689,-9.565,306
9,Kildare,222504,2020/05/15 00:00:00+00,53.238,-6.7837,1388
10,Kilkenny,99232,2020/05/15 00:00:00+00,52.5816,-7.2175,302
11,Laois,84697,2020/05/15 00:00:00+00,52.9952,-7.3423,250
12,Leitrim,32044,2020/05/15 00:00:00+00,54.1261,-7.9939,79
13,Limerick,194899,2020/05/15 00:00:00+00,52.5255,-8.7412,546
14,Longford,40873,2020/05/15 00:00:00+00,53.7325,-7.6952,275
15,Louth,128884,2020/05/15 00:00:00+00,53.9161,-6.487,743
16,Mayo,130507,2020/05/15 00:00:00+00,53.9191,-9.2537,546
17,Meath,195044,2020/05/15 00:00:00+00,53.6851,-6.715,780
18,Monaghan,61386,2020/05/15 00:00:00+00,54.1857,-6.9452,480
19,Offaly,77961,2020/05/15 00:00:00+00,53.2632,-7.6607,467
20,Roscommon,64544,2020/05/15 00:00:00+00,53.8008,-8.2735,304
21,Sligo,65535,2020/05/15 00:00:00+00,54.1581,-8.5345,124
22,Tipperary,159553,2020/05/15 00:00:00+00,52.6407,-7.9206,533
23,Waterford,116176,2020/05/15 00:00:00+00,52.2035,-7.4935,142
24,Westmeath,88770,2020/05/15 00:00:00+00,53.5524,-7.4219,641
25,Wexford,149722,2020/05/15 00:00:00+00,52.5164,-6.5037,212
26,Wicklow,142425,2020/05/15 00:00:00+00,53.0205,-6.3442,668
1,Carlow,56932,2020/05/16 00:00:00+00,52.7168,-6.8367,142
2,Cavan,76176,2020/05/16 00:00:00+00,53.9878,-7.2937,790
3,Clare,118817,2020/05/16 00:00:00+00,52.8917,-8.9889,359
4,Cork,542868,2020/05/16 00:00:00+00,51.9517,-8.6372,1362
5,Donegal,159192,2020/05/16 00:00:00+00,54.8989,-7.96,460
6,Dublin,1347359,2020/05/16 00:00:00+00,53.3605,-6.292,11554
7,Galway,258058,2020/05/16 00:00:00+00,53.3705,-8.7362,431
8,Kerry,147707,2020/05/16 00:00:00+00,52.1689,-9.565,306
9,Kildare,222504,2020/05/16 00:00:00+00,53.238,-6.7837,1393
10,Kilkenny,99232,2020/05/16 00:00:00+00,52.5816,-7.2175,304
11,Laois,84697,2020/05/16 00:00:00+00,52.9952,-7.3423,250
12,Leitrim,32044,2020/05/16 00:00:00+00,54.1261,-7.9939,79
13,Limerick,194899,2020/05/16 00:00:00+00,52.5255,-8.7412,547
14,Longford,40873,2020/05/16 00:00:00+00,53.7325,-7.6952,278
15,Louth,128884,2020/05/16 00:00:00+00,53.9161,-6.487,745
16,Mayo,130507,2020/05/16 00:00:00+00,53.9191,-9.2537,551
17,Meath,195044,2020/05/16 00:00:00+00,53.6851,-6.715,782
18,Monaghan,61386,2020/05/16 00:00:00+00,54.1857,-6.9452,480
19,Offaly,77961,2020/05/16 00:00:00+00,53.2632,-7.6607,467
20,Roscommon,64544,2020/05/16 00:00:00+00,53.8008,-8.2735,307
21,Sligo,65535,2020/05/16 00:00:00+00,54.1581,-8.5345,124
22,Tipperary,159553,2020/05/16 00:00:00+00,52.6407,-7.9206,534
23,Waterford,116176,2020/05/16 00:00:00+00,52.2035,-7.4935,143
24,Westmeath,88770,2020/05/16 00:00:00+00,53.5524,-7.4219,641
25,Wexford,149722,2020/05/16 00:00:00+00,52.5164,-6.5037,212
26,Wicklow,142425,2020/05/16 00:00:00+00,53.0205,-6.3442,669
